commit	median_error_px	avg_error_px	status	description
baseline	905.7	858.5	keep	unmodified pipeline.py (deterministic, 0 variance across 3 runs)
1eccde9	872.5	861.4	discard	ridge alpha=1.0
discard	911.6	915.5	discard	ridge alpha=10.0
discard	858.4	850.0	discard	ridge alpha=0.1
discard	856.0	855.5	discard	ridge alpha=0.5
discard	880.2	853.7	discard	ridge alpha=0.01
discard	848.2	851.6	discard	ridge alpha=0.2
d89923b	844.4	852.7	keep	ridge alpha=0.3 (best, -61.3px from baseline)
e08898d	416.8	502.2	keep	remove all smoothing in replay (-427.6px!)
d4f8d79	411.9	480.4	keep	z-score feature normalization (-4.9px)
discard	417.6	496.0	discard	add head roll as feature (+5.7px, worse)
discard	422.9	467.1	discard	quadratic features (ix^2,iy^2,hx^2,hy^2) (+11px)
discard	438.3	476.3	discard	iris-only quadratic (ix^2,iy^2) (+26.4px)
discard	440.5	476.4	discard	weight eyes by head yaw (+28.6px)
82a5d63	404.3	484.4	keep	ablation: remove interaction terms (-7.6px)
discard	540.4	645.5	discard	ablation: iris ratios only, no head pose (+136px)
f6f9ca5	400.4	482.8	keep	separate left/right eye ratios as features (-3.9px)
discard	413.5	471.8	discard	add tvec (tx,ty,tz) as features (+13.1px)
discard	417.3	490.7	discard	geometric normalization (frontalize eye landmarks) (+16.9px)
discard	400.4	494.1	discard	add nose tip position (nx,ny) as feature (0px median change)
discard	409.5	470.2	discard	use 3D landmark coordinates for eye ratio (+9.1px)
d80fc1f	397.9	482.6	keep	re-tune Ridge alpha=0.9 for 6-feature model (-2.5px)
discard	515.8	631.1	discard	10 landmarks for solvePnP (bad 3D model coords)
b9dbada	396.8	467.7	keep	SOLVEPNP_SQPNP solver (-1.1px median, -14.9px avg)
discard	466.4	566.7	discard	SOLVEPNP_EPNP solver (+69.6px, much worse)
2aeda21	380.9	462.0	keep	separate X/Y models with targeted features (-15.9px)
476bb37	378.5	462.8	keep	re-tune Ridge alpha=1.3 for separate X/Y (-2.4px)
discard	432.7	471.0	discard	cross-axis features (all 4 ratios to both models, +54px)
179c50c	374.1	474.4	keep	add inter-pupillary distance (IPD) as feature (-4.4px)
discard	374.3	473.5	discard	add face width as feature (redundant with IPD)
a803bb6	370.3	468.8	keep	outlier rejection (threshold=2.0) in calibration (-3.8px)
cd7d35b	367.4	461.6	keep	iterative outlier rejection (2 rounds) (-2.9px)
1b3e677	354.8	460.0	keep	avg+diff iris ratios (vergence signal) (-12.6px)
discard	384.0	469.4	discard	avg*pose interaction terms (+29.2px)
b0475bf	288.6	400.2	keep	add Eye Aspect Ratio (EAR) as feature (-66.2px!)
2a4266a	257.7	406.6	keep	separate left/right EAR instead of averaged (-30.9px)
57c520d	253.1	406.9	keep	tune Ridge alpha=0.9 for EAR model (-4.6px)
discard	269.7	404.6	discard	multi-landmark eye contour for iris ratio (+16.6px)
7e834fe	253.8	384.5	keep	add absolute iris position in frame (+0.7px median, -22.4px avg)
7f08718	233.5	286.7	keep	tune Ridge alpha=1.0 for abs-iris model (-20.3px median, right side halved)
discard	309.2	371.2	discard	ablation: remove head pose (+75.7px, still important)
f8d43a5	229.9	260.7	keep	add nose-eye offset as feature (-3.6px median, -26px avg)
0f7c1a2	219.7	255.7	keep	tune Ridge alpha=0.8 (-10.2px median, all regions under 315px)
discard	254.2	313.7	discard	re-add head roll (+34.5px, still noise)
discard	221.6	256.7	discard	avg+diff EAR instead of separate (+1.9px)
discard	235.3	261.9	discard	ablation: remove IPD (+15.6px, still useful)
4c51a3a	214.3	277.6	keep	add iris-to-nose vectors (-5.4px, right side now excellent)
discard	214.2	278.6	discard	quadratic abs_x^2/abs_y^2 (no change)
discard	215.8	271.0	discard	cross-axis iris ratios (+1.5px)
